id,term,type
GO:0004930,G-protein coupled receptor activity,F
GO:0001665,"alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase activity",F
GO:0016533,cyclin-dependent protein kinase 5 holoenzyme complex,C
GO:1903384,negative regulation of hydrogen peroxide-induced neuron intrinsic apoptotic signaling pathway,P
GO:0032446,protein modification by small protein conjugation,P
GO:0015643,toxic substance binding,F
GO:0062153,C5-methylcytidine-containing RNA binding,F
GO:0004507,steroid 11-beta-monooxygenase activity,F
GO:0001806,type IV hypersensitivity,P
GO:0045092,interleukin-18 receptor complex,C
GO:1990844,interfibrillar mitochondrion,C
GO:0032692,negative regulation of interleukin-1 production,P
GO:0045745,positive regulation of G-protein coupled receptor protein signaling pathway,P
GO:0010766,negative regulation of sodium ion transport,P
GO:0043715,"2,3-diketo-5-methylthiopentyl-1-phosphate enolase activity",F
GO:0004407,histone deacetylase activity,F
GO:0003431,growth plate cartilage chondrocyte development,P
GO:0051567,histone H3-K9 methylation,P
GO:0006565,L-serine catabolic process,P
GO:0014033,neural crest cell differentiation,P
GO:0001933,negative regulation of protein phosphorylation,P
GO:0036065,fucosylation,P
GO:0033685,negative regulation of luteinizing hormone secretion,P
GO:0070442,integrin alphaIIb-beta3 complex,C
GO:0032886,regulation of microtubule-based process,P
GO:0044326,dendritic spine neck,C
GO:0046877,regulation of saliva secretion,P
GO:1903307,positive regulation of regulated secretory pathway,P
GO:0019310,inositol catabolic process,P
GO:1901640,XTP binding,F
GO:0043200,response to amino acid,P
GO:0090235,regulation of metaphase plate congression,P
GO:0061670,evoked neurotransmitter secretion,P
GO:0032770,positive regulation of monooxygenase activity,P
GO:0003948,N4-(beta-N-acetylglucosaminyl)-L-asparaginase activity,F
GO:1903350,response to dopamine,P
GO:0015205,nucleobase transmembrane transporter activity,F
GO:0034979,NAD-dependent protein deacetylase activity,F
GO:0072611,interleukin-13 secretion,P
GO:0031547,brain-derived neurotrophic factor receptor signaling pathway,P
GO:0003844,"1,4-alpha-glucan branching enzyme activity",F
GO:0030123,AP-3 adaptor complex,C
GO:1900103,positive regulation of endoplasmic reticulum unfolded protein response,P
GO:0052369,positive regulation by symbiont of defense-related host reactive oxygen species production,P
GO:0034378,chylomicron assembly,P
GO:0046081,dUTP catabolic process,P
GO:0097069,cellular response to thyroxine stimulus,P
GO:0097119,postsynaptic density protein 95 clustering,P
GO:0048169,regulation of long-term neuronal synaptic plasticity,P
GO:0072542,protein phosphatase activator activity,F
GO:1904571,positive regulation of selenocysteine incorporation,P
GO:0046488,phosphatidylinositol metabolic process,P
GO:0051592,response to calcium ion,P
GO:0018842,3-carboxymuconate cycloisomerase type II activity,F
GO:0006766,vitamin metabolic process,P
GO:0010873,positive regulation of cholesterol esterification,P
GO:0005771,multivesicular body,C
GO:0060470,positive regulation of cytosolic calcium ion concentration involved in egg activation,P
GO:0008541,"proteasome regulatory particle, lid subcomplex",C
GO:0047954,glycerol-2-phosphatase activity,F
GO:0048599,oocyte development,P
GO:0017024,myosin I binding,F
GO:0050428,3'-phosphoadenosine 5'-phosphosulfate biosynthetic process,P
GO:0003218,cardiac left ventricle formation,P
GO:0045105,intermediate filament polymerization or depolymerization,P
GO:0086091,regulation of heart rate by cardiac conduction,P
GO:0051039,positive regulation of transcription involved in meiotic cell cycle,P
GO:0035529,NADH pyrophosphatase activity,F
GO:0019530,taurine metabolic process,P
GO:0035252,UDP-xylosyltransferase activity,F
GO:0000467,"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",P
GO:0001505,regulation of neurotransmitter levels,P
GO:0035847,uterine epithelium development,P
GO:1900133,regulation of renin secretion into blood stream,P
GO:0098735,positive regulation of the force of heart contraction,P
GO:0051665,membrane raft localization,P
GO:0017126,nucleologenesis,P
GO:0042371,vitamin K biosynthetic process,P
GO:0016162,"cellulose 1,4-beta-cellobiosidase activity",F
GO:0035175,histone kinase activity (H3-S10 specific),F
GO:0033063,Rad51B-Rad51C-Rad51D-XRCC2 complex,C
GO:0002476,antigen processing and presentation of endogenous peptide antigen via MHC class Ib,P
GO:1901222,regulation of NIK/NF-kappaB signaling,P
GO:0019550,glutamate catabolic process to aspartate,P
GO:0072015,glomerular visceral epithelial cell development,P
GO:0040013,negative regulation of locomotion,P
GO:0072557,IPAF inflammasome complex,C
GO:0021756,striatum development,P
GO:0004345,glucose-6-phosphate dehydrogenase activity,F
GO:0004528,phosphodiesterase I activity,F
GO:0005463,UDP-N-acetylgalactosamine transmembrane transporter activity,F
GO:0014823,response to activity,P
GO:0032889,"regulation of vacuole fusion, non-autophagic",P
GO:0046105,thymidine biosynthetic process,P
GO:0036024,protein C inhibitor-TMPRSS7 complex,C
GO:1902624,positive regulation of neutrophil migration,P
GO:1905907,negative regulation of amyloid fibril formation,P
GO:0010868,negative regulation of triglyceride biosynthetic process,P
GO:0140340,cerebroside transfer activity,F
GO:0097259,20-aldehyde-leukotriene B4 20-monooxygenase activity,F
GO:0032413,negative regulation of ion transmembrane transporter activity,P
GO:0001851,complement component C3b binding,F
GO:2000525,positive regulation of T cell costimulation,P
GO:0005048,signal sequence binding,F
GO:2000118,regulation of sodium-dependent phosphate transport,P
GO:0050760,negative regulation of thymidylate synthase biosynthetic process,P
GO:0006972,hyperosmotic response,P
GO:0048264,determination of ventral identity,P
GO:0031700,adrenomedullin receptor binding,F
GO:1990617,CHOP-ATF4 complex,C
GO:0106045,"guanine deglycation, methylglyoxal removal",P
GO:1903615,positive regulation of protein tyrosine phosphatase activity,P
GO:0002456,T cell mediated immunity,P
GO:0090555,phosphatidylethanolamine-translocating ATPase activity,F
GO:0046633,alpha-beta T cell proliferation,P
GO:0071224,cellular response to peptidoglycan,P
GO:0061863,microtubule plus end polymerase,F
GO:0052593,tryptamine:oxygen oxidoreductase (deaminating) activity,F
GO:0017081,chloride channel regulator activity,F
GO:0032707,negative regulation of interleukin-23 production,P
GO:0047982,homocysteine desulfhydrase activity,F
GO:0061842,microtubule organizing center localization,P
GO:0048541,Peyer's patch development,P
GO:0015812,gamma-aminobutyric acid transport,P
GO:0060259,regulation of feeding behavior,P
GO:0004854,xanthine dehydrogenase activity,F
GO:0070527,platelet aggregation,P
GO:0070925,organelle assembly,P
GO:0035275,dibutyl phthalate binding,F
GO:0030573,bile acid catabolic process,P
GO:1905004,picolinic acid biosynthetic process,P
GO:0001543,ovarian follicle rupture,P
GO:0014808,release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,P
GO:0035409,histone H3-Y41 phosphorylation,P
GO:0043184,vascular endothelial growth factor receptor 2 binding,F
GO:0009838,abscission,P
GO:1903999,negative regulation of eating behavior,P
GO:0001890,placenta development,P
GO:0038042,dimeric G-protein coupled receptor signaling pathway,P
GO:0040017,positive regulation of locomotion,P
GO:0004990,oxytocin receptor activity,F
GO:0048691,positive regulation of axon extension involved in regeneration,P
GO:0099612,protein localization to axon,P
GO:0100001,regulation of skeletal muscle contraction by action potential,P
GO:0034613,cellular protein localization,P
GO:0038089,positive regulation of cell migration by vascular endothelial growth factor signaling pathway,P
GO:1901706,mesenchymal cell differentiation involved in bone development,P
GO:1902513,regulation of organelle transport along microtubule,P
GO:0033127,regulation of histone phosphorylation,P
GO:1990123,L-glutamate import into cell,P
GO:0000721,"(R,R)-butanediol dehydrogenase activity",F
GO:0051306,mitotic sister chromatid separation,P
GO:1904635,positive regulation of glomerular visceral epithelial cell apoptotic process,P
GO:0033306,phytol metabolic process,P
GO:0004729,oxygen-dependent protoporphyrinogen oxidase activity,F
GO:0000827,"inositol-1,3,4,5,6-pentakisphosphate kinase activity",F
GO:0006937,regulation of muscle contraction,P
GO:0001696,gastric acid secretion,P
GO:0006272,leading strand elongation,P
GO:0035865,cellular response to potassium ion,P
GO:0050968,detection of chemical stimulus involved in sensory perception of pain,P
GO:0048251,elastic fiber assembly,P
GO:0030379,"neurotensin receptor activity, non-G-protein coupled",F
GO:0090385,phagosome-lysosome fusion,P
GO:0006284,base-excision repair,P
GO:0031533,mRNA cap methyltransferase complex,C
GO:0008201,heparin binding,F
GO:0098912,membrane depolarization during atrial cardiac muscle cell action potential,P
GO:0015951,purine ribonucleotide interconversion,P
GO:0045125,bioactive lipid receptor activity,F
GO:0046098,guanine metabolic process,P
GO:0070778,L-aspartate transmembrane transport,P
GO:0006777,Mo-molybdopterin cofactor biosynthetic process,P
GO:0004449,isocitrate dehydrogenase (NAD+) activity,F
GO:0000494,box C/D snoRNA 3'-end processing,P
GO:0051044,positive regulation of membrane protein ectodomain proteolysis,P
GO:1902490,regulation of sperm capacitation,P
GO:0043731,6-hydroxynicotinate 3-monooxygenase activity,F
GO:0018119,peptidyl-cysteine S-nitrosylation,P
GO:2000672,negative regulation of motor neuron apoptotic process,P
GO:0071467,cellular response to pH,P
GO:0046293,formaldehyde biosynthetic process,P
GO:0072110,glomerular mesangial cell proliferation,P
GO:0102500,beta-maltose 4-alpha-glucanotransferase activity,F
GO:0034315,regulation of Arp2/3 complex-mediated actin nucleation,P
GO:0036327,VEGF-B-activated receptor activity,F
GO:0016416,O-palmitoyltransferase activity,F
GO:0004866,endopeptidase inhibitor activity,F
GO:0048609,multicellular organismal reproductive process,P
GO:0031071,cysteine desulfurase activity,F
GO:0034667,integrin alpha3-beta1 complex,C
GO:0070897,DNA-templated transcriptional preinitiation complex assembly,P
GO:0019805,quinolinate biosynthetic process,P
GO:0046685,response to arsenic-containing substance,P
GO:0070933,histone H4 deacetylation,P
GO:0017176,phosphatidylinositol N-acetylglucosaminyltransferase activity,F
GO:0072562,blood microparticle,C
GO:0009913,epidermal cell differentiation,P
GO:0032640,tumor necrosis factor production,P
GO:0000805,X chromosome,C
GO:0051126,negative regulation of actin nucleation,P
GO:0005215,transporter activity,F
GO:0003720,telomerase activity,F
GO:0070419,nonhomologous end joining complex,C
GO:0060804,positive regulation of Wnt signaling pathway by BMP signaling pathway,P
GO:1903824,negative regulation of telomere single strand break repair,P
GO:1990136,linoleate 9S-lipoxygenase activity,F
GO:0062124,4-hydroxybutyrate receptor activity,F
GO:0006323,DNA packaging,P
GO:0072235,metanephric distal tubule development,P
GO:0089705,protein localization to outer membrane,P
GO:0006948,induction by virus of host cell-cell fusion,P
GO:1901624,negative regulation of lymphocyte chemotaxis,P
GO:1990448,exon-exon junction complex binding,F
GO:1990454,L-type voltage-gated calcium channel complex,C
GO:0030242,pexophagy,P
GO:0099575,"regulation of protein catabolic process at presynapse, modulating synaptic transmission",P
GO:0004743,pyruvate kinase activity,F
GO:0016405,CoA-ligase activity,F
GO:0001839,neural plate morphogenesis,P
GO:0045179,apical cortex,C
GO:0002034,regulation of blood vessel diameter by renin-angiotensin,P
GO:1990272,anti-Mullerian hormone receptor activity,F
GO:0007113,endomitotic cell cycle,P
GO:0060123,regulation of growth hormone secretion,P
GO:0061146,Peyer's patch morphogenesis,P
GO:0010265,SCF complex assembly,P
GO:0014908,myotube differentiation involved in skeletal muscle regeneration,P
GO:2000359,regulation of binding of sperm to zona pellucida,P
GO:0061029,eyelid development in camera-type eye,P
GO:0002676,regulation of chronic inflammatory response,P
GO:0050916,sensory perception of sweet taste,P
GO:0060694,regulation of cholesterol transporter activity,P
GO:0002857,positive regulation of natural killer cell mediated immune response to tumor cell,P
GO:0043374,"CD8-positive, alpha-beta T cell differentiation",P
GO:0016160,amylase activity,F
GO:0007112,male meiosis cytokinesis,P
GO:0060299,negative regulation of sarcomere organization,P
GO:1990715,mRNA CDS binding,F
GO:1903883,positive regulation of interleukin-17-mediated signaling pathway,P
GO:0043791,dimethylamine methyltransferase activity,F
GO:0000735,removal of nonhomologous ends,P
GO:0005778,peroxisomal membrane,C
GO:0033301,cell cycle comprising mitosis without cytokinesis,P
GO:0097084,vascular smooth muscle cell development,P
GO:1990428,miRNA transport,P
GO:0034358,plasma lipoprotein particle,C
GO:0071008,U2-type post-mRNA release spliceosomal complex,C
GO:0008023,transcription elongation factor complex,C
GO:0051598,meiotic recombination checkpoint,P
GO:0005863,striated muscle myosin thick filament,C
GO:0089700,protein kinase D signaling,P
GO:0071875,adrenergic receptor signaling pathway,P
GO:0048500,signal recognition particle,C
GO:1904914,negative regulation of establishment of macromolecular complex localization to telomere,P
GO:2000189,positive regulation of cholesterol homeostasis,P
GO:1902966,positive regulation of protein localization to early endosome,P
GO:0071209,U7 snRNA binding,F
GO:0008969,phosphohistidine phosphatase activity,F
GO:0051881,regulation of mitochondrial membrane potential,P
GO:0003213,cardiac right atrium morphogenesis,P
GO:0006542,glutamine biosynthetic process,P
GO:0035410,dihydrotestosterone 17-beta-dehydrogenase activity,F
GO:0031770,growth hormone-releasing hormone receptor binding,F
GO:0051935,glutamate reuptake,P
GO:0003198,epithelial to mesenchymal transition involved in endocardial cushion formation,P
GO:0016688,L-ascorbate peroxidase activity,F
GO:0005068,transmembrane receptor protein tyrosine kinase adaptor activity,F
GO:0036444,mitochondrial calcium uptake,P
GO:0021575,hindbrain morphogenesis,P
GO:0061782,vesicle fusion with vesicle,P
GO:2000490,negative regulation of hepatic stellate cell activation,P
GO:0017005,3'-tyrosyl-DNA phosphodiesterase activity,F
GO:0099040,ceramide translocation,P
GO:0060042,retina morphogenesis in camera-type eye,P
GO:0006378,mRNA polyadenylation,P
GO:0032759,positive regulation of TRAIL production,P
GO:0008693,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase activity,F
GO:2000623,"negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",P
GO:0019932,second-messenger-mediated signaling,P
GO:0008635,activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c,P
GO:0031983,vesicle lumen,C
GO:0016165,linoleate 13S-lipoxygenase activity,F
GO:0032911,negative regulation of transforming growth factor beta1 production,P
GO:0032542,sulfiredoxin activity,F
GO:0046982,protein heterodimerization activity,F
GO:0002622,regulation of B cell antigen processing and presentation,P
GO:0019005,SCF ubiquitin ligase complex,C
GO:0048550,negative regulation of pinocytosis,P
GO:0043163,cell envelope organization,P
GO:2001057,reactive nitrogen species metabolic process,P
GO:0033133,positive regulation of glucokinase activity,P
GO:0033189,response to vitamin A,P
GO:0086042,cardiac muscle cell-cardiac muscle cell adhesion,P
GO:0021527,spinal cord association neuron differentiation,P
GO:0051233,spindle midzone,C
GO:0016300,tRNA (uracil) methyltransferase activity,F
GO:0070370,cellular heat acclimation,P
GO:0044416,induction by symbiont of host defense response,P
GO:0018026,peptidyl-lysine monomethylation,P
GO:0035250,UDP-galactosyltransferase activity,F
GO:0006435,threonyl-tRNA aminoacylation,P
GO:0030278,regulation of ossification,P
GO:0044278,cell wall disruption in other organism,P
GO:0072193,ureter smooth muscle cell differentiation,P
GO:1904326,"negative regulation of circadian sleep/wake cycle, wakefulness",P
GO:0031104,dendrite regeneration,P
GO:0005018,platelet-derived growth factor alpha-receptor activity,F
GO:0002652,regulation of tolerance induction dependent upon immune response,P
GO:0030892,mitotic cohesin complex,C
GO:0050061,long-chain-aldehyde dehydrogenase activity,F
GO:0046887,positive regulation of hormone secretion,P
GO:2000180,negative regulation of androgen biosynthetic process,P
GO:0044387,negative regulation of protein kinase activity by regulation of protein phosphorylation,P
GO:0060032,notochord regression,P
GO:0006105,succinate metabolic process,P
GO:0071481,cellular response to X-ray,P
GO:0097695,establishment of macromolecular complex localization to telomere,P
GO:0034382,chylomicron remnant clearance,P
GO:0032635,interleukin-6 production,P
GO:0097327,response to antineoplastic agent,P
GO:0001657,ureteric bud development,P
GO:0048471,perinuclear region of cytoplasm,C
GO:0036035,osteoclast development,P
GO:0000173,inactivation of MAPK activity involved in osmosensory signaling pathway,P
GO:0048858,cell projection morphogenesis,P
GO:0031213,RSF complex,C
GO:0034593,phosphatidylinositol bisphosphate phosphatase activity,F
GO:0031420,alkali metal ion binding,F
GO:0016117,carotenoid biosynthetic process,P
GO:1905475,regulation of protein localization to membrane,P
GO:0000956,nuclear-transcribed mRNA catabolic process,P
GO:0060968,regulation of gene silencing,P
GO:0006566,threonine metabolic process,P
GO:0071266,'de novo' L-methionine biosynthetic process,P
GO:0060011,Sertoli cell proliferation,P
GO:0004382,guanosine-diphosphatase activity,F
GO:2001236,regulation of extrinsic apoptotic signaling pathway,P
GO:0009115,xanthine catabolic process,P
GO:0004677,DNA-dependent protein kinase activity,F
GO:0005834,heterotrimeric G-protein complex,C
GO:0019178,NADP phosphatase activity,F
GO:0008677,2-dehydropantoate 2-reductase activity,F
GO:1904772,response to tetrachloromethane,P
GO:0014038,regulation of Schwann cell differentiation,P
GO:0060720,spongiotrophoblast cell proliferation,P
GO:0042720,mitochondrial inner membrane peptidase complex,C
GO:0048864,stem cell development,P
GO:0061630,ubiquitin protein ligase activity,F
GO:0010172,embryonic body morphogenesis,P
GO:0070317,negative regulation of G0 to G1 transition,P
GO:0050718,positive regulation of interleukin-1 beta secretion,P
GO:0043381,negative regulation of memory T cell differentiation,P
GO:0051120,hepoxilin A3 synthase activity,F
GO:0060317,cardiac epithelial to mesenchymal transition,P
GO:0038027,apolipoprotein A-I-mediated signaling pathway,P
GO:0010871,negative regulation of receptor biosynthetic process,P
GO:0097476,spinal cord motor neuron migration,P
GO:0039540,suppression by virus of host RIG-I activity,P
GO:0048872,homeostasis of number of cells,P
GO:0004674,protein serine/threonine kinase activity,F
GO:0102340,3-oxo-behenoyl-CoA reductase activity,F
GO:0032465,regulation of cytokinesis,P
GO:0030172,troponin C binding,F
GO:0048861,leukemia inhibitory factor signaling pathway,P
GO:0030128,clathrin coat of endocytic vesicle,C
GO:0099530,G-protein coupled receptor activity involved in regulation of postsynaptic membrane potential,F
GO:0002114,interleukin-33 receptor activity,F
GO:0032184,SUMO polymer binding,F
GO:0045518,interleukin-22 receptor binding,F
GO:0005996,monosaccharide metabolic process,P
GO:0031315,extrinsic component of mitochondrial outer membrane,C
GO:0002074,extraocular skeletal muscle development,P
GO:0030622,U4atac snRNA binding,F
GO:0014839,myoblast migration involved in skeletal muscle regeneration,P
GO:1903033,positive regulation of microtubule plus-end binding,P
GO:0071893,BMP signaling pathway involved in nephric duct formation,P
GO:0071482,cellular response to light stimulus,P
GO:0045167,asymmetric protein localization involved in cell fate determination,P
GO:0097497,blood vessel endothelial cell delamination,P
GO:0015367,oxoglutarate:malate antiporter activity,F
GO:0097690,iron channel inhibitor activity,F
GO:0008320,protein transmembrane transporter activity,F
GO:0051540,metal cluster binding,F
GO:0050501,hyaluronan synthase activity,F
GO:0016266,O-glycan processing,P
GO:0042599,lamellar body,C
GO:0033781,cholesterol 24-hydroxylase activity,F
GO:0036054,protein-malonyllysine demalonylase activity,F
GO:1902808,positive regulation of cell cycle G1/S phase transition,P
GO:0050796,regulation of insulin secretion,P
GO:0061106,negative regulation of stomach neuroendocrine cell differentiation,P
GO:1904306,positive regulation of gastro-intestinal system smooth muscle contraction,P
GO:0000821,regulation of arginine metabolic process,P
GO:1904696,protein localization to cell-cell adherens junction,P
GO:0019030,icosahedral viral capsid,C
GO:1904385,cellular response to angiotensin,P
GO:0008105,asymmetric protein localization,P
GO:0071663,positive regulation of granzyme B production,P
GO:0031467,Cul7-RING ubiquitin ligase complex,C
GO:0072236,metanephric loop of Henle development,P
GO:0030970,"retrograde protein transport, ER to cytosol",P
GO:0001514,selenocysteine incorporation,P
GO:0032421,stereocilium bundle,C
GO:0019619,"3,4-dihydroxybenzoate catabolic process",P
GO:0022892,substrate-specific transporter activity,F
GO:0045951,positive regulation of mitotic recombination,P
GO:0086020,gap junction channel activity involved in SA node cell-atrial cardiac muscle cell electrical coupling,F
GO:0010656,negative regulation of muscle cell apoptotic process,P
GO:0030158,protein xylosyltransferase activity,F
GO:0050512,lactosylceramide 4-alpha-galactosyltransferase activity,F
GO:0050687,negative regulation of defense response to virus,P
GO:0008716,D-alanine-D-alanine ligase activity,F
GO:0010644,cell communication by electrical coupling,P
GO:0140311,protein sequestering activity,F
GO:0046903,secretion,P
GO:0004802,transketolase activity,F
GO:0048856,anatomical structure development,P
GO:0035469,determination of pancreatic left/right asymmetry,P
GO:0000246,delta24(24-1) sterol reductase activity,F
GO:0051031,tRNA transport,P
GO:0019185,snRNA-activating protein complex,C
GO:0015269,calcium-activated potassium channel activity,F
GO:0050998,nitric-oxide synthase binding,F
GO:0015992,proton transport,P
GO:2000487,positive regulation of glutamine transport,P
GO:0031060,regulation of histone methylation,P
GO:0051424,corticotropin-releasing hormone binding,F
GO:0006425,glutaminyl-tRNA aminoacylation,P
GO:0004662,CAAX-protein geranylgeranyltransferase activity,F
GO:0008910,kanamycin kinase activity,F
GO:0046855,inositol phosphate dephosphorylation,P
GO:0006516,glycoprotein catabolic process,P
GO:0006953,acute-phase response,P
GO:0044103,L-arabinose 1-dehydrogenase (NADP+) activity,F
GO:2000570,positive regulation of T-helper 2 cell activation,P
GO:0060454,positive regulation of gastric acid secretion,P
GO:0032945,negative regulation of mononuclear cell proliferation,P
GO:0003197,endocardial cushion development,P
GO:0052816,long-chain acyl-CoA hydrolase activity,F
GO:0004739,pyruvate dehydrogenase (acetyl-transferring) activity,F
GO:0010631,epithelial cell migration,P
GO:0045720,negative regulation of integrin biosynthetic process,P
GO:1903494,response to dehydroepiandrosterone,P
GO:0002474,antigen processing and presentation of peptide antigen via MHC class I,P
GO:0015186,L-glutamine transmembrane transporter activity,F
GO:0031932,TORC2 complex,C
GO:0047293,4-hydroxybenzoate nonaprenyltransferase activity,F
GO:0070120,ciliary neurotrophic factor-mediated signaling pathway,P
GO:1902172,regulation of keratinocyte apoptotic process,P
GO:0043221,SMC family protein binding,F
GO:0015855,pyrimidine nucleobase transport,P
GO:1904954,canonical Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation,P
GO:0060491,regulation of cell projection assembly,P
GO:0032685,negative regulation of granulocyte macrophage colony-stimulating factor production,P
GO:1903704,negative regulation of production of siRNA involved in RNA interference,P
GO:0035548,negative regulation of interferon-beta secretion,P
GO:0051729,"germline cell cycle switching, mitotic to meiotic cell cycle",P
GO:0099557,"trans-synaptic signaling by trans-synaptic complex, modulating synaptic transmission",P
GO:1901907,diadenosine pentaphosphate catabolic process,P
GO:0043247,telomere maintenance in response to DNA damage,P
GO:0000828,inositol hexakisphosphate kinase activity,F
GO:0030165,PDZ domain binding,F
GO:0007007,inner mitochondrial membrane organization,P
GO:0043244,regulation of protein complex disassembly,P
GO:1903076,regulation of protein localization to plasma membrane,P
GO:0004030,aldehyde dehydrogenase [NAD(P)+] activity,F
GO:0061851,leading edge of lamellipodium,C
GO:0046950,cellular ketone body metabolic process,P
GO:0032502,developmental process,P
GO:0008291,acetylcholine metabolic process,P
GO:0033152,immunoglobulin V(D)J recombination,P
GO:0006776,vitamin A metabolic process,P
GO:0035412,regulation of catenin import into nucleus,P
GO:0048698,negative regulation of collateral sprouting in absence of injury,P
GO:1903892,negative regulation of ATF6-mediated unfolded protein response,P
GO:0051355,proprioception involved in equilibrioception,P
GO:0018344,protein geranylgeranylation,P
GO:0052628,4-hydroxybenzoate amino acid synthetase activity,F
GO:0061611,mannose to fructose-6-phosphate metabolic process,P
GO:0006367,transcription initiation from RNA polymerase II promoter,P
GO:1903521,positive regulation of mammary gland involution,P
GO:0044327,dendritic spine head,C
GO:1903839,positive regulation of mRNA 3'-UTR binding,P
GO:1901336,lactone biosynthetic process,P
GO:0071954,chemokine (C-C motif) ligand 11 production,P
GO:0001222,transcription corepressor binding,F
GO:1903754,cortical microtubule plus-end,C
GO:0030261,chromosome condensation,P
GO:0021516,dorsal spinal cord development,P
GO:0036004,GAF domain binding,F
GO:0090201,negative regulation of release of cytochrome c from mitochondria,P
GO:0097371,MDM2/MDM4 family protein binding,F
GO:0005104,fibroblast growth factor receptor binding,F
GO:1901623,regulation of lymphocyte chemotaxis,P
GO:0044605,phosphocholine transferase activity,F
GO:0016667,"oxidoreductase activity, acting on a sulfur group of donors",F
GO:0003860,3-hydroxyisobutyryl-CoA hydrolase activity,F
GO:0032720,negative regulation of tumor necrosis factor production,P
GO:1905469,negative regulation of clathrin-coated pit assembly,P
GO:2001020,regulation of response to DNA damage stimulus,P
GO:0045740,positive regulation of DNA replication,P
GO:0018352,protein-pyridoxal-5-phosphate linkage,P
GO:0000839,Hrd1p ubiquitin ligase ERAD-L complex,C
GO:0070579,methylcytosine dioxygenase activity,F
