id,go_id,component_id
1222455,GO:0005737,4509
1440470,GO:0046983,13835
1340833,GO:0007165,16081
1177707,GO:0043196,1109
1287685,GO:0003777,10967
1486847,GO:0051928,11546
1365857,GO:0045944,18322
1264631,GO:0070062,8960
1431719,GO:0002316,8503
1475549,GO:0005886,5657
1397907,GO:0008270,22546
1428343,GO:0031124,6384
1195382,GO:0005980,2468
1205348,GO:0034354,3145
1412130,GO:0003084,1188
1416801,GO:0046677,1800
1375440,GO:0043209,19272
1172648,GO:0005737,760
1478293,GO:0003723,7168
1203236,GO:0007067,3028
1214487,GO:0005096,3886
1425978,GO:0098780,4427
1281855,GO:0030425,10434
1249600,GO:0021516,7396
1378824,GO:0009952,19625
1408864,GO:0004834,934
1309354,GO:0035094,13226
1266260,GO:0005094,9055
1413452,GO:0005244,1276
1425477,GO:0035579,4149
1334158,GO:0005001,15516
1443023,GO:0000981,15528
1241977,GO:0032570,6685
1320306,GO:0042803,14322
1375039,GO:0005737,19228
1358257,GO:0043066,17635
1497371,GO:0005794,16973
1448783,GO:0046872,19323
1469956,GO:0043312,3091
1185318,GO:0004674,1626
1232340,GO:0031965,5519
1309000,GO:0007420,13214
1285408,GO:0016327,10743
1231664,GO:0000166,5463
1469351,GO:0002726,3054
1263834,GO:0051439,8864
1288792,GO:0016525,11080
1419650,GO:0030148,2373
1224361,GO:0070131,4670
1312300,GO:0048015,13423
1478651,GO:0035091,7337
1229671,GO:0072011,5297
1224302,GO:0001822,4667
1221519,GO:0005737,4443
1351807,GO:0045499,17092
1485763,GO:0016021,10851
1265964,GO:0048593,9041
1434095,GO:0005654,9911
1497785,GO:1990000,17130
1276985,GO:0048706,10080
1452813,GO:0006272,21816
1390540,GO:0045944,20842
1378396,GO:0030991,19549
1264059,GO:0005789,8885
1365888,GO:0030054,18325
1218424,GO:0046933,4211
1372283,GO:0034130,18853
1417585,GO:0016021,1865
1186210,GO:0005730,1680
1245199,GO:0016020,7016
1380959,GO:0031647,19822
1247802,GO:0006306,7235
1402300,GO:0071385,227
1506619,GO:0016020,3106
1422567,GO:0010288,2743
1167876,GO:0008083,465
1336066,GO:0005096,15679
1212934,GO:0035646,3792
1429988,GO:0031072,7271
1473397,GO:1904878,4478
1370349,GO:0007179,18719
1398313,GO:0010739,22393
1502172,GO:0019899,19410
1248736,GO:0006955,7304
1307807,GO:0006783,13115
1453366,GO:0055085,21862
1213559,GO:0008203,3838
1417192,GO:0060158,1858
1322737,GO:0009790,14528
1334079,GO:0005001,15513
1184374,GO:0000187,1524
1410538,GO:0048385,1045
1294463,GO:0038202,11798
1453520,GO:0008134,21882
1482705,GO:1904659,9546
1271021,GO:0007283,9580
1483356,GO:0005634,9802
1502969,GO:0099011,19934
1374698,GO:0005634,19197
1412771,GO:0005829,1243
1178616,GO:0071549,1164
1239882,GO:0005789,6464
1183783,GO:0005813,1484
1412400,GO:0048015,1213
1397538,GO:0005248,22604
1330464,GO:0016020,15251
1404258,GO:0042802,481
1432532,GO:0007186,8932
1170641,GO:0045765,624
1297999,GO:0005813,12194
1165199,GO:0008270,288
1328685,GO:0000165,15019
1483892,GO:0000981,9970
1212949,GO:0048490,3793
1409454,GO:0003677,970
1284880,GO:0032454,10654
1303159,GO:0005829,12743
1190605,GO:0016021,2099
1178551,GO:0005215,1162
1197686,GO:0009411,2641
1364142,GO:0006959,18135
1472379,GO:0097192,4074
1164240,GO:0046872,252
1405976,GO:0060548,637
1427041,GO:0007159,5272
1383668,GO:0033178,20042
1395277,GO:0031649,22642
1237050,GO:0005788,6146
1443854,GO:0016032,15937
1287563,GO:0016887,10960
1317989,GO:0008156,14119
1507515,GO:0061630,12733
1453451,GO:0005344,21873
1322136,GO:0008270,14481
1451832,GO:0005737,21700
1495305,GO:0000381,15899
1410100,GO:0016705,1011
1411904,GO:0005768,1169
1305682,GO:0005737,12959
1283208,GO:0043231,10546
1447519,GO:0070039,18430
1458810,GO:0007268,206
1399059,GO:0005886,22451
1479749,GO:1900029,7868
1276219,GO:0008016,9991
1236066,GO:0004872,6024
1331331,GO:0072422,15302
1328071,GO:0006298,14962
1275899,GO:0005737,9970
1460018,GO:0005623,434
1201077,GO:0052595,2844
1325021,GO:0071467,14718
1475290,GO:0016604,5484
1489316,GO:0005730,12839
1411895,GO:0051928,1165
1344373,GO:0035556,16403
1357311,GO:0097433,17552
1344522,GO:0005829,16414
1368550,GO:0006458,18572
1311521,GO:0019731,13390
1429645,GO:0072555,7136
1403578,GO:1902710,384
1171217,GO:0010332,665
1479665,GO:0010976,7839
1376782,GO:0008270,19371
1320280,GO:0006598,14318
1311965,GO:0008270,13407
1462505,GO:0035254,977
1263013,GO:0001659,8794
1236415,GO:0007165,6076
1456026,GO:0015035,22308
1371785,GO:0032496,18820
1371820,GO:0005737,18823
1459276,GO:0007268,246
1284350,GO:0072562,10614
1281987,GO:0043408,10438
1239433,GO:0005886,6372
1453229,GO:0032496,21843
1380480,GO:0038095,19777
1223797,GO:0006351,4588
1438875,GO:0097493,12821
1390737,GO:0006355,20873
1277668,GO:0003229,10141
1246292,GO:0046834,7115
1364178,GO:0005795,18136
1169832,GO:2000145,577
1481332,GO:0099106,8848
1174664,GO:0007191,891
1249713,GO:0005886,7404
1396287,GO:0071773,22684
1489722,GO:0005604,13090
1396916,GO:2000117,22565
1459751,GO:0034220,365
1228821,GO:0051726,5221
1422514,GO:0046039,2740
1201530,GO:0005524,2906
1417908,GO:0007399,1916
1389925,GO:0007165,20764
1390964,GO:0022008,20904
1416726,GO:0061885,1784
1406815,GO:0001959,726
1341481,GO:0060271,16143
1445971,GO:0043312,17337
1266249,GO:0051056,9054
1486349,GO:0019814,11279
1416067,GO:0005887,1639
1461731,GO:0046427,838
1226056,GO:0005634,4881
1164706,GO:0005524,272
1492362,GO:0005623,14532
1306146,GO:0015293,13003
1363473,GO:0051721,18096
1169394,GO:0031904,546
1404906,GO:1901185,577
1186183,GO:0005886,1679
1192472,GO:0005759,2253
1345337,GO:0001682,16469
1251006,GO:0045211,7525
1254209,GO:0005198,7797
1174224,GO:0050731,872
1208840,GO:0015939,3433
1449629,GO:0043130,19863
1246493,GO:0042803,7127
1503991,GO:0006406,20588
1283561,GO:0007411,10578
1340689,GO:0006915,16064
1267713,GO:0006563,9218
1288036,GO:0050728,10988
1259819,GO:0046934,8559
1346661,GO:0090263,16556
1449448,GO:0001650,19770
1285805,GO:0007411,10797
1336190,GO:0010592,15687
1194529,GO:0015949,2401
1174957,GO:0016791,905
1283013,GO:0043330,10534
1377651,GO:0005886,19471
1298942,GO:0090082,12261
1420446,GO:0032753,2461
1171925,GO:0099040,698
1225361,GO:0051606,4823
1296704,GO:0005770,12090
1280930,GO:0050728,10361
1447442,GO:0042981,18388
1180746,GO:0005739,1309
1167588,GO:0005737,443
1388749,GO:0005737,20571
1277365,GO:0005886,10104
1411236,GO:0045777,1097
1398641,GO:0031175,22425
1391832,GO:0000977,21033
1392910,GO:0006351,21209
1198694,GO:0007254,2693
1450124,GO:0016567,20199
1480190,GO:0005730,8158
1497247,GO:0003400,16915
1182584,GO:0044752,1409
1197453,GO:0045727,2633
1423254,GO:1903576,2873
1506684,GO:0035774,3128
1434927,GO:0097435,10390
1411408,GO:0001784,1119
1300769,GO:0070733,12470
1291455,GO:0043565,11464
1429168,GO:0051260,6937
1462483,GO:0032496,973
1420486,GO:0006979,2462
1430605,GO:0030507,7549
1268296,GO:0033234,9255
1485913,GO:0003723,10922
1448727,GO:0033116,19284
1220829,GO:0005634,4388
1238349,GO:0006816,6260
1407509,GO:0009330,799
1343464,GO:0031624,16319
1343086,GO:0005622,16281
1257301,GO:0006096,8219
1333952,GO:0050853,15506
1398800,GO:0007399,22432
1169662,GO:0005525,563
1255705,GO:0005913,7930
1432035,GO:0003779,8649
1429162,GO:0007062,6936
1168395,GO:0070873,489
1318462,GO:0005737,14172
1208945,GO:0070628,3439
1180029,GO:0051930,1261
1190875,GO:0030154,2116
1182795,GO:0034097,1417
1372384,GO:0002282,18855
1494090,GO:0002038,15442
1427613,GO:0000398,5658
1471739,GO:0005623,3784
1318712,GO:0005643,14201
1344408,GO:0017158,16405
1476832,GO:0062023,6399
1460843,GO:0014068,638
1163266,GO:0005743,143
1402897,GO:0043536,299
1461294,GO:0007268,717
1365866,GO:0005634,18323
1366988,GO:0016021,18428
1386581,GO:0072156,20329
1222075,GO:0045471,4483
1182383,GO:0042562,1396
1171473,GO:0005737,680
1254200,GO:0019031,7795
1451260,GO:0008184,21649
1362992,GO:0008584,18057
1211577,GO:0051279,3675
1217016,GO:0006811,4119
1209010,GO:0003714,3445
1250657,GO:0043507,7498
1313171,GO:0006890,13494
1415033,GO:0006468,1514
1314273,GO:0005739,13569
1448386,GO:0005886,19032
1284212,GO:0005856,10604
1400470,GO:0032823,21586
1442668,GO:0016579,15406
1490035,GO:0005886,13176
1271508,GO:0005576,9632
1473900,GO:0044331,4801
1350917,GO:0001078,17019
1485230,GO:0042475,10588
1468914,GO:0048156,2900
1255306,GO:0003677,7888
1477371,GO:0048240,6683
1320491,GO:0016020,14344
1487665,GO:0000281,12049
1387990,GO:0071942,20393
1166504,GO:0050567,382
1369961,GO:0033108,18693
1259943,GO:0005576,8565
1438918,GO:0006941,12832
1408739,GO:0019901,919
1208597,GO:0005200,3417
1360422,GO:0005737,17813
1259846,GO:1901215,8560
1398943,GO:0086001,22441
1405366,GO:0005737,595
1304689,GO:0030054,12845
1426681,GO:0016607,4928
1244613,GO:0010225,6971
1292040,GO:0045211,11517
1503981,GO:0003333,20529
1479912,GO:0016407,7935
1391022,GO:0046872,20912
1489511,GO:0030318,13004
1195882,GO:0031090,2514
1308768,GO:0016020,13184
1305090,GO:0005355,12893
1381598,GO:0007568,19887
1346597,GO:0045943,16551
1475210,GO:0000981,5444
1432852,GO:0046039,9144
1332395,GO:0022624,15406
1220195,GO:0043065,4355
1506499,GO:0070062,3067
1470542,GO:0043531,3247
1326089,GO:0032580,14805
1183144,GO:1904886,1439
1316477,GO:0016021,13884
1307203,GO:0005829,13068
1472056,GO:0099562,3901
1292809,GO:0000139,11592
1273807,GO:0003677,9803
1322796,GO:0060326,14530
1178173,GO:0005829,1129
1419129,GO:0005975,2277
1340197,GO:0004871,16020
1401278,GO:0048471,41
1349645,GO:0043565,16887
1182596,GO:0098914,1410
1461231,GO:0007165,706
1322397,GO:0022414,14503
1487379,GO:0032991,11860
1464177,GO:0006749,1295
1287611,GO:0005524,10962
1351379,GO:0090274,17060
1479364,GO:0000981,7658
1372091,GO:0007218,18835
1310142,GO:0003924,13271
1219964,GO:0043066,4339
1298784,GO:0000978,12245
1352801,GO:0032798,17175
1223817,GO:0005634,4592
1362251,GO:0003714,17985
1410473,GO:0042734,1040
1483456,GO:0009617,9829
1225455,GO:0005261,4835
1294606,GO:0043154,11810
1441283,GO:0030667,14578
1235103,GO:0005886,5937
1176607,GO:0051048,1018
1287898,GO:0008104,10978
1382419,GO:0043066,19954
1408597,GO:0071875,913
1190445,GO:0048038,2074
1435074,GO:0032958,10482
1383310,GO:0008333,20022
1248841,GO:0007264,7312
1298519,GO:0002467,12226
1250510,GO:0006351,7489
1291140,GO:0090068,11438
1404339,GO:0007611,487
1424878,GO:0045807,3782
1382281,GO:0005737,19940
1483164,GO:0000977,9752
1195215,GO:0018630,2456
1315849,GO:0046922,13818
1169486,GO:0005507,550
1165341,GO:0008104,292
1254368,GO:0047429,7817
1207665,GO:0005759,3349
1358637,GO:0005905,17656
1331903,GO:0090263,15386
1314745,GO:0016021,13648
1217193,GO:0046872,4128
1245168,GO:0007062,7012
1323823,GO:0005730,14615
1230910,GO:0005634,5371
1338059,GO:0003697,15827
1192708,GO:0006464,2269
1466005,GO:1904680,1755
1501514,GO:0005829,19052
1323658,GO:0070345,14601
1397646,GO:0004177,22613
1474365,GO:0006919,4919
1217702,GO:0006990,4165
1356996,GO:0006686,17530
1472693,GO:1902895,4195
1165819,GO:0016488,345
1235193,GO:0008366,5943
1467756,GO:0060041,2445
1190820,GO:0007224,2111
1240954,GO:0046328,6581
1292192,GO:0007584,11530
1451964,GO:0004550,21713
1494189,GO:0044306,15497
1210256,GO:0006068,3555
1439410,GO:1904385,13116
1223890,GO:0005771,4602
1308075,GO:0005634,13129
1314042,GO:0005643,13558
1465012,GO:0016229,1483
1315747,GO:0034602,13808
1368461,GO:0005739,18565
1358991,GO:0001944,17671
1249024,GO:0005829,7338
1365127,GO:0005913,18229
1223967,GO:0048813,4613
1241251,GO:0032410,6628
1421871,GO:0043536,2648
1502952,GO:0050678,19924
1427311,GO:0032403,5371
1371001,GO:0005737,18751
1385182,GO:0000938,20159
1322007,GO:0070062,14467
1353484,GO:0005794,17241
1472079,GO:0005096,3911
1303819,GO:0031672,12791
1286981,GO:0006351,10905
1381420,GO:0043161,19871
1303538,GO:0003705,12773
1207909,GO:0042803,3361
1389641,GO:0039507,20719
1481471,GO:0005694,8947
1228408,GO:2000548,5202
1432731,GO:0019900,9079
1343077,GO:0008270,16279
1490121,GO:0000978,13216
1202301,GO:0005874,2961
1268277,GO:0043547,9252
1236503,GO:0071260,6085
1291676,GO:0004427,11488
1183881,GO:0045773,1486
1242013,GO:0008021,6689
1359734,GO:0030496,17730
1309963,GO:0045087,13265
1191074,GO:0042538,2127
1343219,GO:0031301,16294
1402102,GO:0060402,218
1352188,GO:0005737,17124
1280177,GO:0043565,10328
1235069,GO:0030183,5935
1450666,GO:0043025,20642
1271629,GO:0005634,9643
1435684,GO:0044325,10862
1196802,GO:0008201,2586
1405527,GO:0045121,619
1415988,GO:1990405,1631
1356109,GO:0005634,17456
1189650,GO:0006421,2031
1308619,GO:0008283,13166
1403960,GO:0046655,446
1259004,GO:0019863,8496
1426636,GO:0072734,4913
1459162,GO:0034220,238
1372287,GO:0042995,18854
1319103,GO:0046854,14232
1318804,GO:0032147,14215
1220097,GO:0043025,4352
1163795,GO:0005262,185
1407994,GO:0045947,845
1503424,GO:0034337,20200
1275128,GO:0000398,9896
1370463,GO:1905006,18722
1481279,GO:0031146,8837
1210938,GO:0043025,3615
1183935,GO:0005887,1493
1197004,GO:0030424,2601
1501187,GO:0008320,18809
1378429,GO:0005634,19557
1175946,GO:0097421,983
1480281,GO:2000042,8279
1469692,GO:0032675,3074
1430399,GO:0003341,7510
1502492,GO:0010591,19645
1453212,GO:0006954,21843
1243403,GO:0030198,6830
1263967,GO:0005783,8879
1334731,GO:0002244,15571
1168303,GO:0071404,486
1364799,GO:0048568,18201
1372654,GO:0030970,18887
1337343,GO:0001726,15762
1259777,GO:0030949,8557
1323441,GO:0004519,14588
1218115,GO:0048599,4193
1171732,GO:0005088,691
1317764,GO:0005549,14088
1418130,GO:0034765,1970
1293587,GO:0005886,11694
1479104,GO:0048747,7530
1431768,GO:0015026,8513
1302150,GO:0046872,12647
1262320,GO:0050727,8722
1285060,GO:0005886,10670
1498813,GO:0016010,17581
1238040,GO:0042803,6228
1224165,GO:0006915,4639
1473505,GO:0005737,4538
1332485,GO:1902975,15412
1307931,GO:1902894,13120
1246421,GO:0006071,7121
1386175,GO:0004867,20295
1415857,GO:0046933,1612
1354562,GO:0016021,17355
1392786,GO:0003677,21189
1331608,GO:0046658,15355
1166730,GO:0045618,404
1351860,GO:0005634,17096
1503664,GO:0034115,20326
1432764,GO:1901750,9120
1505961,GO:0030225,554
1268209,GO:0097381,9250
1427968,GO:0005829,5998
1363338,GO:0001568,18087
1392987,GO:0001078,21224
1367108,GO:0005886,18441
1195847,GO:0004674,2510
1497336,GO:0006886,16958
1167535,GO:0005654,438
1364614,GO:0005794,18178
1453110,GO:0051279,21831
1284739,GO:0005789,10643
1232193,GO:0000086,5504
1464691,GO:0001504,1403
1415593,GO:0006148,1584
1276378,GO:0048019,10006
1230500,GO:0051149,5341
1469921,GO:0006952,3089
1462575,GO:0038023,985
1349854,GO:0070296,16917
1220158,GO:0005739,4355
1248987,GO:0018024,7334
1242559,GO:0098905,6775
1304142,GO:0030048,12809
1352665,GO:0000245,17162
1242109,GO:0050852,6719
1435953,GO:0000981,11022
1272548,GO:0006974,9721
1183287,GO:0005737,1452
1164581,GO:0005794,267
1198417,GO:0009986,2674
1365684,GO:0005765,18265
1183041,GO:0001669,1435
1408321,GO:0043312,887
1459293,GO:0005737,252
1407353,GO:0005829,780
1195489,GO:0009651,2474
1240000,GO:0016358,6473
1233362,GO:0005634,5671
1386329,GO:0005737,20314
1414031,GO:0071230,1345
1395223,GO:0005251,22640
1477351,GO:0098831,6674
1497973,GO:0042802,17228
1288626,GO:0031463,11053
1263407,GO:0042802,8841
1188521,GO:0003779,1843
1459174,GO:0045202,239
1463621,GO:0001635,1202
1457462,GO:0042923,22620
1233590,GO:0030214,5681
1489694,GO:0000049,13081
1175088,GO:0001666,910
1285534,GO:0061436,10764
1395259,GO:0005887,22642
1296508,GO:0004674,12075
1295254,GO:0032403,11920
1472754,GO:1904707,4234
1174276,GO:0004672,875
1465479,GO:0015196,1634
1264885,GO:0045165,8967
1488364,GO:1904776,12383
1202414,GO:0004733,2974
1364855,GO:0002161,18206
1198959,GO:0005737,2713
1281871,GO:0000139,10435
1465187,GO:0045776,1520
1269474,GO:0005887,9400
1473569,GO:0098982,4598
1466365,GO:0022006,1863
1387442,GO:0042981,20351
1469796,GO:0006955,3081
1328352,GO:0016020,14988
1280879,GO:0002230,10359
1175249,GO:0001523,927
1405689,GO:0032467,631
1372172,GO:0045892,18845
1308390,GO:0008083,13151
1387921,GO:0016021,20388
1417574,GO:0030424,1864
1499730,GO:0044853,18060
1507659,GO:1901998,15676
1497857,GO:0005634,17168
1392116,GO:0003700,21077
1333085,GO:0005622,15448
1496776,GO:0071005,16647
1178080,GO:0010513,1126
1243973,GO:0033268,6880
1473331,GO:0042803,4451
1487831,GO:0042277,12137
1457509,GO:0034472,22527
1425459,GO:0051480,4129
1322144,GO:0006302,14482
1186841,GO:0055119,1710
1382691,GO:0016324,19983
1268271,GO:0048589,9252
1265300,GO:0050909,8987
1413513,GO:0048469,1287
1215032,GO:1900026,3925
1294337,GO:0006397,11785
1446630,GO:0005654,17798
1191679,GO:0006468,2172
1428148,GO:0007568,6151
1391917,GO:0006355,21047
1349407,GO:0050708,16867
1325587,GO:0005783,14761
1374141,GO:0005861,19165
1245406,GO:0005886,7030
1296339,GO:0007165,12057
1437512,GO:0006351,11974
1479389,GO:0050852,7671
1472469,GO:0015085,4123
1487824,GO:0031777,12136
1167696,GO:0046638,453
1333283,GO:0005829,15465
1260227,GO:0050681,8584
1238225,GO:0006890,6248
1339341,GO:0005634,15941
1365453,GO:0001786,18247
1386168,GO:0030414,20292
1262337,GO:0001078,8723
1368699,GO:0035064,18589
1286751,GO:0005743,10882
1261549,GO:0005902,8685
1188443,GO:0045786,1822
1395781,GO:0042802,22660
1345245,GO:0050714,16459
1193779,GO:0046872,2358
1376016,GO:0005164,19321
1187941,GO:0090102,1753
1241907,GO:0006351,6677
1402768,GO:0010972,266
1409557,GO:0033148,971
1324409,GO:0005198,14666
1356462,GO:0000803,17476
1369016,GO:0003300,18625
1321249,GO:2000178,14385
1232584,GO:0072126,5578
1344328,GO:0030538,16400
1446986,GO:0008022,18062
1240554,GO:0031430,6524
1201056,GO:0005783,2843
1256333,GO:0005829,7997
1313910,GO:0021849,13551
1463130,GO:0023035,1109
1314400,GO:0004930,13595
1364932,GO:0042802,18213
1264107,GO:0005737,8891
1209019,GO:0006351,3445
1205161,GO:0006955,3132
1248988,GO:0008134,7334
1427180,GO:0042802,5318
1187028,GO:0010976,1719
1372488,GO:0001932,18858
1315449,GO:0005829,13774
1230545,GO:0005737,5343
1387361,GO:0071300,20346
1249839,GO:0007417,7419
1345591,GO:0042254,16490
1174507,GO:0043406,887
1174597,GO:0050709,890
1343454,GO:0070936,16318
1227640,GO:0043231,5042
1309909,GO:0045444,13262
1472501,GO:0030501,4126
1252127,GO:0030742,7598
1480024,GO:0004521,8003
1460702,GO:0097733,608
1462357,GO:0006883,959
1429286,GO:0045111,6985
1474622,GO:0007586,5191
1297986,GO:0016592,12192
1422856,GO:0005901,2788
1386079,GO:0021987,20265
1211724,GO:0002039,3686
1468631,GO:0000165,2806
1379232,GO:0060271,19671
1507744,GO:0005381,16830
1199370,GO:0007179,2740
1196490,GO:0043066,2563
1322336,GO:0004867,14500
1287583,GO:0033624,10960
1259728,GO:0048015,8555
1288770,GO:0045744,11077
1350455,GO:0030054,16973
1175636,GO:0005886,947
1198909,GO:0019373,2711
1450739,GO:0016604,20696
1367036,GO:0005634,18435
1212304,GO:1990667,3760
1488795,GO:0043984,12595
1443740,GO:0000288,15864
1177121,GO:0048633,1057
1316349,GO:0090161,13864
1213813,GO:0070062,3844
1288596,GO:0042787,11045
1437612,GO:0001540,12055
1169276,GO:0005509,543
1430253,GO:0000049,7436
1276990,GO:0005654,10081
1267898,GO:0070062,9235
1492553,GO:0000976,14602
1163368,GO:0005743,155
1471440,GO:1990030,3616
1476313,GO:0005201,6189
1306535,GO:0050850,13025
1300806,GO:0031143,12472
1406888,GO:0007208,730
1310947,GO:0015030,13330
1210934,GO:0000838,3615
1474565,GO:0005576,5144
1383754,GO:0016241,20048
1251283,GO:0045892,7539
1365483,GO:0030054,18249
1451084,GO:0003677,21179
1260654,GO:0001077,8626
1278160,GO:0008340,10175
1348571,GO:0042760,16748
1423596,GO:0043949,2981
1219280,GO:0019885,4282
1350634,GO:0035556,16989
1485695,GO:0060173,10811
1430482,GO:0051959,7520
1259467,GO:0005737,8546
1504582,GO:0045944,21050
1249352,GO:0005764,7371
1432624,GO:0006110,9018
1410674,GO:0042802,1057
1374003,GO:0097190,19154
1463393,GO:0005886,1158
1460353,GO:0051427,547
1271797,GO:0052852,9654
1461040,GO:1902949,685
1426011,GO:0000166,4452
1263421,GO:0050660,8843
1392558,GO:0045892,21153
1304328,GO:0031410,12818
1187381,GO:0008076,1731
1408454,GO:0045892,903
1196586,GO:0031528,2569
1492106,GO:1990404,14361
1297538,GO:0036444,12163
1235755,GO:0005794,5992
1229362,GO:0045954,5282
1223422,GO:0006978,4563
1475896,GO:0061045,5950
1437914,GO:0016604,12217
1232176,GO:0005813,5502
1404848,GO:0034061,558
1432863,GO:0030424,9172
1440838,GO:0007186,14276
1237358,GO:0045766,6161
1434975,GO:0016579,10419
1462182,GO:0001653,919
1393375,GO:0003676,21298
1291407,GO:0019953,11457
1294557,GO:0060620,11806
1463778,GO:1904496,1224
1294523,GO:0009306,11803
1237183,GO:0005615,6151
1385285,GO:0048666,20175
1395707,GO:0030425,22658
1465281,GO:0042995,1545
1369193,GO:0007155,18634
1220473,GO:0006351,4373
1181100,GO:0001227,1327
1498664,GO:2001020,17496
1386624,GO:0060070,20331
1205342,GO:0007165,3144
1406525,GO:0008658,688
1305835,GO:0045292,12985
1392701,GO:0005634,21176
1337597,GO:0004407,15780
1246074,GO:0005634,7093
1302069,GO:0005737,12635
1368186,GO:0045944,18543
1399813,GO:0020037,22497
1486392,GO:0060441,11327
1484657,GO:0032691,10281
1237389,GO:0005578,6163
1329564,GO:0060314,15124
1348261,GO:0015106,16734
1186579,GO:0016018,1702
1409851,GO:0045899,984
1495189,GO:0050728,15852
1285195,GO:0005730,10679
1295326,GO:0005794,11939
1440039,GO:0043202,13458
1260058,GO:0030917,8568
1456151,GO:0047115,22330
1259970,GO:0005088,8566
1211837,GO:0045596,3698
1383052,GO:0015991,20011
1230509,GO:0007088,5341
1199627,GO:0042803,2779
1378342,GO:0005764,19539
1389291,GO:0005634,20680
1306432,GO:0000775,13022
1407953,GO:0051018,845
1433541,GO:0005829,9616
1451311,GO:0019370,21654
1464197,GO:0001103,1302
1210573,GO:0070579,3584
1344880,GO:0051607,16435
1444499,GO:0007049,16364
1218825,GO:0003723,4245
1297852,GO:0002489,12185
1321369,GO:0042981,14389
1278490,GO:0005829,10198
1198855,GO:0048754,2709
1493066,GO:0099170,14888
1453946,GO:0009607,21948
1253005,GO:0005737,7671
1425525,GO:0019883,4176
1459679,GO:0050804,350
1346746,GO:0032543,16567
1237015,GO:0007605,6144
1220686,GO:0005119,4383
1233597,GO:0010923,5681
1338760,GO:0030893,15890
1429894,GO:0005829,7226
1363321,GO:0004652,18084
1275484,GO:0031012,9925
1213127,GO:0045739,3810
1487793,GO:0045322,12100
1378304,GO:0005634,19532
1205414,GO:0030371,3150
1477869,GO:0035082,6994
1339665,GO:0000139,15963
1444491,GO:0044322,16361
1418116,GO:0019371,1969
1416952,GO:0005634,1836
1189111,GO:0050955,1962
1475365,GO:0045087,5535
1210777,GO:0042981,3603
1398280,GO:0008209,22392
1255829,GO:0060441,7945
1485639,GO:2001169,10789
1424559,GO:0005829,3521
1385960,GO:0001895,20246
1294800,GO:0005886,11853
1316706,GO:0016021,13919
1406418,GO:0097421,677
1267333,GO:0033089,9180
1498436,GO:0016477,17385
1377249,GO:0006366,19424
1218316,GO:0016532,4207
1197662,GO:0005654,2641
1216146,GO:0032383,4033
1395549,GO:0032874,22652
1448360,GO:0005338,18971
1321013,GO:0000978,14376
1265412,GO:0032947,8997
1394288,GO:0007093,21421
1420600,GO:0051289,2473
1472886,GO:0035811,4287
1213775,GO:0030229,3842
1419476,GO:0004089,2321
1283668,GO:0031589,10584
1245210,GO:0016020,7017
1262546,GO:0006879,8743
1367906,GO:0008595,18518
1298979,GO:0005886,12267
1302375,GO:2000576,12658
1399011,GO:0002376,22447
1417338,GO:0007167,1861
1302292,GO:0046982,12652
1474301,GO:0000902,4887
1439204,GO:0046983,13009
1176940,GO:0047374,1046
1420367,GO:0042752,2459
1321417,GO:0008134,14396
1173476,GO:0045892,834
1187767,GO:0030539,1747
1471856,GO:0005654,3828
1222756,GO:0010862,4520
1177960,GO:0043161,1121
1367331,GO:0031338,18471
1175390,GO:0008236,938
1233795,GO:0006477,5697
1394685,GO:0046872,23410
1386669,GO:0005576,20332
1432807,GO:1904000,9131
1206762,GO:0016020,3275
1430589,GO:0005654,7544
1489278,GO:0034622,12825
1325745,GO:1900113,14780
1332825,GO:0002223,15435
1427907,GO:2000810,5960
1190376,GO:0001570,2065
1411318,GO:0005886,1111
1396358,GO:0050968,22688
1283576,GO:0019904,10579
1277177,GO:0006739,10095
1291129,GO:0045843,11438
1274008,GO:0002480,9816
1260394,GO:0005518,8605
1459098,GO:0060078,234
1369054,GO:0007218,18626
1452838,GO:0003707,21818
1262990,GO:0043584,8793
1414600,GO:0018107,1438
1299671,GO:0005737,12370
1412438,GO:0042220,1216
1233989,GO:0005634,5753
1240621,GO:0051560,6530
1315061,GO:0004930,13700
1280678,GO:0031622,10347
1364010,GO:0006887,18124
1270156,GO:0008104,9482
1329472,GO:0006355,15115
1468088,GO:0034039,2579
1269494,GO:0042277,9402
1285391,GO:0045095,10742
1408631,GO:0045907,914
1444024,GO:0005886,16075
1198423,GO:0016361,2674
1491553,GO:0030334,14141
1286460,GO:0005886,10854
1249108,GO:0008270,7346
1370327,GO:0032354,18717
1259897,GO:0005796,8563
1476769,GO:0005544,6374
1430656,GO:0007186,7594
1362599,GO:0036258,18029
1163582,GO:0070509,172
1173731,GO:0010839,847
1323500,GO:0005887,14591
1260367,GO:0016363,8603
1323673,GO:0005634,14602
1312107,GO:0043524,13413
1448317,GO:0005794,18889
1244849,GO:0005829,6990
1391782,GO:0046872,21024
1432737,GO:0007411,9086
1203177,GO:0001525,3023
1381386,GO:0008270,19864
1215772,GO:0060271,4003
1364273,GO:0043433,18140
1208285,GO:0051897,3393
1422596,GO:1905077,2748
1328127,GO:0010008,14969
1212098,GO:0030016,3722
1343596,GO:0010628,16339
1320558,GO:0045909,14345
